"week","state","SumOfnew_case"
-2,"AK",3102.00
-2,"AL",29192.00
-2,"AR",15862.00
-2,"AZ",45663.00
-2,"CA",279629.00
-2,"CO",20964.00
-2,"CT",16021.00
-2,"DC",1699.00
-2,"DE",5387.00
-2,"FL",75068.00
-2,"GA",44260.00
-2,"HI",830.00
-2,"IA",10996.00
-2,"ID",8437.00
-2,"IL",52679.00
-2,"IN",38395.00
-2,"KS",15132.00
-2,"KY",19608.00
-2,"LA",18243.00
-2,"MA",33545.00
-2,"MD",16161.00
-2,"ME",3042.00
-2,"MI",21353.00
-2,"MN",19237.00
-2,"MO",24498.00
-2,"MS",14686.00
-2,"MT",3975.00
-2,"NC",44613.00
-2,"ND",2168.00
-2,"NE",7754.00
-2,"NH",5365.00
-2,"NJ",35276.00
-2,"NM",10572.00
-2,"NV",17907.00
-2,"NY",47564.00
-2,"OH",60968.00
-2,"OK",23637.00
-2,"OR",8975.00
-2,"PA",67434.00
-2,"RI",6245.00
-2,"SC",22659.00
-2,"SD",3929.00
-2,"TN",48622.00
-2,"TX",109514.00
-2,"UT",17149.00
-2,"VA",24939.00
-2,"VT",664.00
-2,"WA",16713.00
-2,"WI",24688.00
-2,"WV",9064.00
-2,"WY",2581.00
-1,"AK",1735.00
-1,"AL",24714.00
-1,"AR",13855.00
-1,"AZ",44831.00
-1,"CA",260848.00
-1,"CO",17021.00
-1,"CT",9961.00
-1,"DC",1368.00
-1,"DE",4579.00
-1,"FL",69709.00
-1,"GA",46488.00
-1,"HI",846.00
-1,"IA",8170.00
-1,"ID",6718.00
-1,"IL",39775.00
-1,"IN",34234.00
-1,"KS",9263.00
-1,"KY",14829.00
-1,"LA",14065.00
-1,"MA",30332.00
-1,"MD",16390.00
-1,"ME",2932.00
-1,"MI",16486.00
-1,"MN",11910.00
-1,"MO",19819.00
-1,"MS",12311.00
-1,"MT",2814.00
-1,"NC",35583.00
-1,"ND",1426.00
-1,"NE",5944.00
-1,"NH",4324.00
-1,"NJ",35493.00
-1,"NM",8296.00
-1,"NV",13795.00
-1,"NY",49244.00
-1,"OH",50239.00
-1,"OK",20938.00
-1,"OR",6512.00
-1,"PA",56715.00
-1,"RI",5184.00
-1,"SC",24553.00
-1,"SD",2627.00
-1,"TN",36973.00
-1,"TX",86663.00
-1,"UT",15108.00
-1,"VA",26728.00
-1,"VT",582.00
-1,"WA",14059.00
-1,"WI",15343.00
-1,"WV",8962.00
-1,"WY",1658.00
0,"AK",2136.00
0,"AL",31615.00
0,"AR",17473.00
0,"AZ",46130.00
0,"CA",279460.00
0,"CO",15553.00
0,"CT",17377.00
0,"DC",1799.00
0,"DE",4579.00
0,"FL",87941.00
0,"GA",56334.00
0,"HI",880.00
0,"IA",8924.00
0,"ID",6412.00
0,"IL",41210.00
0,"IN",31153.00
0,"KS",18056.00
0,"KY",20117.00
0,"LA",18776.00
0,"MA",34579.00
0,"MD",18121.00
0,"ME",3709.00
0,"MI",19755.00
0,"MN",11287.00
0,"MO",24842.00
0,"MS",16120.00
0,"MT",2511.00
0,"NC",55749.00
0,"ND",1576.00
0,"NE",6933.00
0,"NH",5251.00
0,"NJ",33401.00
0,"NM",8153.00
0,"NV",13218.00
0,"NY",59104.00
0,"OH",50005.00
0,"OK",26875.00
0,"OR",8022.00
0,"PA",52197.00
0,"RI",7112.00
0,"SC",31728.00
0,"SD",2866.00
0,"TN",46958.00
0,"TX",116695.00
0,"UT",17576.00
0,"VA",30189.00
0,"VT",666.00
0,"WA",16198.00
0,"WI",17630.00
0,"WV",9150.00
0,"WY",1427.00
1,"AK",2041.00
1,"AL",30563.00
1,"AR",20304.00
1,"AZ",68216.00
1,"CA",293100.00
1,"CO",19775.00
1,"CT",15874.00
1,"DC",1948.00
1,"DE",5908.00
1,"FL",107520.00
1,"GA",63730.00
1,"HI",1183.00
1,"IA",12023.00
1,"ID",7036.00
1,"IL",48687.00
1,"IN",35554.00
1,"KS",14577.00
1,"KY",27024.00
1,"LA",26156.00
1,"MA",42954.00
1,"MD",21355.00
1,"ME",3708.00
1,"MI",19854.00
1,"MN",16581.00
1,"MO",27494.00
1,"MS",16290.00
1,"MT",4158.00
1,"NC",66122.00
1,"ND",1675.00
1,"NE",7365.00
1,"NH",5687.00
1,"NJ",39636.00
1,"NM",9575.00
1,"NV",17438.00
1,"NY",69035.00
1,"OH",56304.00
1,"OK",25979.00
1,"OR",8128.00
1,"PA",56018.00
1,"RI",8058.00
1,"SC",40269.00
1,"SD",3072.00
1,"TN",46939.00
1,"TX",161305.00
1,"UT",22069.00
1,"VA",35091.00
1,"VT",994.00
1,"WA",18469.00
1,"WI",24482.00
1,"WV",10451.00
1,"WY",2146.00
2,"AK",1693.00
2,"AL",21228.00
2,"AR",18432.00
2,"AZ",59577.00
2,"CA",234967.00
2,"CO",14536.00
2,"CT",17428.00
2,"DC",2080.00
2,"DE",5252.00
2,"FL",93251.00
2,"GA",60811.00
2,"HI",1004.00
2,"IA",8917.00
2,"ID",6041.00
2,"IL",40628.00
2,"IN",28573.00
2,"KS",13812.00
2,"KY",23227.00
2,"LA",23422.00
2,"MA",38591.00
2,"MD",19771.00
2,"ME",4261.00
2,"MI",15027.00
2,"MN",10634.00
2,"MO",18360.00
2,"MS",13381.00
2,"MT",2954.00
2,"NC",50469.00
2,"ND",1148.00
2,"NE",5294.00
2,"NH",5074.00
2,"NJ",42907.00
2,"NM",7939.00
2,"NV",13781.00
2,"NY",66631.00
2,"OH",50530.00
2,"OK",19432.00
2,"OR",7936.00
2,"PA",48467.00
2,"RI",6109.00
2,"SC",34311.00
2,"SD",2377.00
2,"TN",29456.00
2,"TX",159009.00
2,"UT",18529.00
2,"VA",40449.00
2,"VT",1023.00
2,"WA",16622.00
2,"WI",18141.00
2,"WV",8346.00
2,"WY",2349.00
3,"AK",1399.00
3,"AL",18536.00
3,"AR",12817.00
3,"AZ",48477.00
3,"CA",160676.00
3,"CO",11483.00
3,"CT",14393.00
3,"DC",1540.00
3,"DE",4376.00
3,"FL",78123.00
3,"GA",52495.00
3,"HI",762.00
3,"IA",7814.00
3,"ID",4049.00
3,"IL",33860.00
3,"IN",21554.00
3,"KS",10519.00
3,"KY",20734.00
3,"LA",15402.00
3,"MA",30367.00
3,"MD",15007.00
3,"ME",3228.00
3,"MI",12888.00
3,"MN",8761.00
3,"MO",14396.00
3,"MS",11594.00
3,"MT",2354.00
3,"NC",41442.00
3,"ND",953.00
3,"NE",5945.00
3,"NH",5631.00
3,"NJ",35447.00
3,"NM",5686.00
3,"NV",9623.00
3,"NY",54431.00
3,"OH",38334.00
3,"OK",16510.00
3,"OR",5188.00
3,"PA",38180.00
3,"RI",5217.00
3,"SC",29194.00
3,"SD",1685.00
3,"TN",22825.00
3,"TX",131401.00
3,"UT",12637.00
3,"VA",33142.00
3,"VT",931.00
3,"WA",12075.00
3,"WI",13728.00
3,"WV",6628.00
3,"WY",1515.00
4,"AK",973.00
4,"AL",15848.00
4,"AR",11392.00
4,"AZ",38043.00
4,"CA",111493.00
4,"CO",8455.00
4,"CT",12208.00
4,"DC",1585.00
4,"DE",3552.00
4,"FL",72143.00
4,"GA",43700.00
4,"HI",758.00
4,"IA",6472.00
4,"ID",3358.00
4,"IL",25346.00
4,"IN",16524.00
4,"KS",8032.00
4,"KY",16741.00
4,"LA",17021.00
4,"MA",25267.00
4,"MD",13021.00
4,"ME",2536.00
4,"MI",10421.00
4,"MN",7011.00
4,"MO",11706.00
4,"MS",10376.00
4,"MT",2352.00
4,"NC",35367.00
4,"ND",813.00
4,"NE",3716.00
4,"NH",3786.00
4,"NJ",35007.00
4,"NM",4960.00
4,"NV",7636.00
4,"NY",46203.00
4,"OH",32940.00
4,"OK",14339.00
4,"OR",4816.00
4,"PA",39282.00
4,"RI",4186.00
4,"SC",24790.00
4,"SD",1107.00
4,"TN",18831.00
4,"TX",120181.00
4,"UT",10541.00
4,"VA",32332.00
4,"VT",801.00
4,"WA",11457.00
4,"WI",10994.00
4,"WV",5588.00
4,"WY",1121.00
5,"AK",921.00
5,"AL",11460.00
5,"AR",11677.00
5,"AZ",25735.00
5,"CA",80107.00
5,"CO",10834.00
5,"CT",9349.00
5,"DC",1215.00
5,"DE",2633.00
5,"FL",57180.00
5,"GA",31544.00
5,"HI",617.00
5,"IA",5381.00
5,"ID",2526.00
5,"IL",20408.00
5,"IN",13112.00
5,"KS",6877.00
5,"KY",14680.00
5,"LA",12585.00
5,"MA",19467.00
5,"MD",9177.00
5,"ME",1894.00
5,"MI",8769.00
5,"MN",6398.00
5,"MO",9785.00
5,"MS",6593.00
5,"MT",1955.00
5,"NC",28668.00
5,"ND",525.00
5,"NE",2851.00
5,"NH",2699.00
5,"NJ",25292.00
5,"NM",3675.00
5,"NV",6042.00
5,"NY",32725.00
5,"OH",25298.00
5,"OK",11509.00
5,"OR",4325.00
5,"PA",26365.00
5,"RI",3163.00
5,"SC",18686.00
5,"SD",1062.00
5,"TN",15330.00
5,"TX",127641.00
5,"UT",8270.00
5,"VA",24346.00
5,"VT",847.00
5,"WA",8179.00
5,"WI",9019.00
5,"WV",3850.00
5,"WY",914.00
6,"AK",931.00
6,"AL",8388.00
6,"AR",6498.00
6,"AZ",16251.00
6,"CA",52192.00
6,"CO",8728.00
6,"CT",7965.00
6,"DC",919.00
6,"DE",2533.00
6,"FL",49551.00
6,"GA",25406.00
6,"HI",404.00
6,"IA",4782.00
6,"ID",2274.00
6,"IL",16242.00
6,"IN",9754.00
6,"KS",4540.00
6,"KY",10788.00
6,"LA",8724.00
6,"MA",15068.00
6,"MD",7333.00
6,"ME",1311.00
6,"MI",9528.00
6,"MN",5574.00
6,"MO",6433.00
6,"MS",5143.00
6,"MT",1580.00
6,"NC",23035.00
6,"ND",442.00
6,"NE",3606.00
6,"NH",2444.00
6,"NJ",25984.00
6,"NM",3075.00
6,"NV",4445.00
6,"NY",29238.00
6,"OH",19462.00
6,"OK",6938.00
6,"OR",3293.00
6,"PA",26740.00
6,"RI",2592.00
6,"SC",16721.00
6,"SD",1073.00
6,"TN",12917.00
6,"TX",76344.00
6,"UT",6884.00
6,"VA",20874.00
6,"VT",784.00
6,"WA",8072.00
6,"WI",6635.00
6,"WV",3092.00
6,"WY",468.00
7,"AK",904.00
7,"AL",5677.00
7,"AR",2668.00
7,"AZ",10861.00
7,"CA",34347.00
7,"CO",6829.00
7,"CT",5764.00
7,"DC",757.00
7,"DE",1790.00
7,"FL",40946.00
7,"GA",20939.00
7,"HI",282.00
7,"IA",3509.00
7,"ID",1667.00
7,"IL",12301.00
7,"IN",7087.00
7,"KS",4730.00
7,"KY",7777.00
7,"LA",3702.00
7,"MA",11869.00
7,"MD",5372.00
7,"ME",969.00
7,"MI",7959.00
7,"MN",5366.00
7,"MO",4778.00
7,"MS",3698.00
7,"MT",1344.00
7,"NC",17875.00
7,"ND",680.00
7,"NE",1724.00
7,"NH",2656.00
7,"NJ",20555.00
7,"NM",2186.00
7,"NV",2835.00
7,"NY",23907.00
7,"OH",14765.00
7,"OK",3582.00
7,"OR",2677.00
7,"PA",19247.00
7,"RI",2257.00
7,"SC",11898.00
7,"SD",960.00
7,"TN",7388.00
7,"TX",30490.00
7,"UT",5450.00
7,"VA",14116.00
7,"VT",690.00
7,"WA",5794.00
7,"WI",5138.00
7,"WV",2082.00
7,"WY",597.00
8,"AK",820.00
8,"AL",5267.00
8,"AR",3965.00
8,"AZ",9664.00
8,"CA",25948.00
8,"CO",7650.00
8,"CT",6845.00
8,"DC",925.00
8,"DE",2078.00
8,"FL",38996.00
8,"GA",20440.00
8,"HI",408.00
8,"IA",3779.00
8,"ID",1990.00
8,"IL",12623.00
8,"IN",6369.00
8,"KS",2831.00
8,"KY",7027.00
8,"LA",6305.00
8,"MA",11916.00
8,"MD",5744.00
8,"ME",1137.00
8,"MI",8480.00
8,"MN",5633.00
8,"MO",4208.00
8,"MS",3574.00
8,"MT",1196.00
8,"NC",14942.00
8,"ND",532.00
8,"NE",1969.00
8,"NH",2005.00
8,"NJ",22593.00
8,"NM",2413.00
8,"NV",2817.00
8,"NY",23949.00
8,"OH",13848.00
8,"OK",3231.00
8,"OR",2604.00
8,"PA",18106.00
8,"RI",2569.00
8,"SC",10032.00
8,"SD",1128.00
8,"TN",8930.00
8,"TX",56592.00
8,"UT",4736.00
8,"VA",11935.00
8,"VT",675.00
8,"WA",6013.00
8,"WI",5097.00
8,"WV",2216.00
8,"WY",667.00
9,"AK",876.00
9,"AL",3812.00
9,"AR",5458.00
9,"AZ",9412.00
9,"CA",21030.00
9,"CO",8300.00
9,"CT",5384.00
9,"DC",795.00
9,"DE",1619.00
9,"FL",36416.00
9,"GA",17591.00
9,"HI",355.00
9,"IA",3251.00
9,"ID",1791.00
9,"IL",11820.00
9,"IN",5665.00
9,"KS",2198.00
9,"KY",5182.00
9,"LA",4453.00
9,"MA",10251.00
9,"MD",5220.00
9,"ME",1158.00
9,"MI",10863.00
9,"MN",5326.00
9,"MO",3900.00
9,"MS",2655.00
9,"MT",1005.00
9,"NC",12088.00
9,"ND",582.00
9,"NE",1933.00
9,"NH",1529.00
9,"NJ",23123.00
9,"NM",1854.00
9,"NV",2472.00
9,"NY",23663.00
9,"OH",11582.00
9,"OK",2517.00
9,"OR",1764.00
9,"PA",17288.00
9,"RI",2327.00
9,"SC",7596.00
9,"SD",1085.00
9,"TN",6976.00
9,"TX",43656.00
9,"UT",3668.00
9,"VA",9650.00
9,"VT",830.00
9,"WA",4843.00
9,"WI",4391.00
9,"WV",1710.00
9,"WY",414.00
10,"AK",922.00
10,"AL",3081.00
10,"AR",2160.00
10,"AZ",6975.00
10,"CA",18418.00
10,"CO",6991.00
10,"CT",5247.00
10,"DC",1159.00
10,"DE",1363.00
10,"FL",31603.00
10,"GA",11189.00
10,"HI",444.00
10,"IA",3237.00
10,"ID",2305.00
10,"IL",10580.00
10,"IN",5434.00
10,"KS",1887.00
10,"KY",4576.00
10,"LA",3437.00
10,"MA",10685.00
10,"MD",6122.00
10,"ME",1233.00
10,"MI",15070.00
10,"MN",6388.00
10,"MO",4137.00
10,"MS",2809.00
10,"MT",884.00
10,"NC",10891.00
10,"ND",585.00
10,"NE",1811.00
10,"NH",1624.00
10,"NJ",24625.00
10,"NM",1425.00
10,"NV",3105.00
10,"NY",22384.00
10,"OH",10562.00
10,"OK",2484.00
10,"OR",2313.00
10,"PA",17311.00
10,"RI",2353.00
10,"SC",6327.00
10,"SD",1115.00
10,"TN",7671.00
10,"TX",31890.00
10,"UT",3545.00
10,"VA",9035.00
10,"VT",707.00
10,"WA",4841.00
10,"WI",3768.00
10,"WV",1859.00
10,"WY",399.00
11,"AK",883.00
11,"AL",2901.00
11,"AR",1734.00
11,"AZ",3671.00
11,"CA",16001.00
11,"CO",7075.00
11,"CT",6114.00
11,"DC",743.00
11,"DE",1585.00
11,"FL",30584.00
11,"GA",11167.00
11,"HI",545.00
11,"IA",2895.00
11,"ID",2184.00
11,"IL",12585.00
11,"IN",5404.00
11,"KS",1762.00
11,"KY",4111.00
11,"LA",3255.00
11,"MA",12241.00
11,"MD",6582.00
11,"ME",1439.00
11,"MI",22625.00
11,"MN",7878.00
11,"MO",3553.00
11,"MS",1975.00
11,"MT",1240.00
11,"NC",11493.00
11,"ND",675.00
11,"NE",1782.00
11,"NH",1997.00
11,"NJ",27933.00
11,"NM",1393.00
11,"NV",1886.00
11,"NY",23637.00
11,"OH",10521.00
11,"OK",1840.00
11,"OR",1928.00
11,"PA",20219.00
11,"RI",2353.00
11,"SC",7101.00
11,"SD",1230.00
11,"TN",8324.00
11,"TX",27424.00
11,"UT",3271.00
11,"VA",10169.00
11,"VT",838.00
11,"WA",5386.00
11,"WI",3924.00
11,"WV",2329.00
11,"WY",418.00
12,"AK",1072.00
12,"AL",2600.00
12,"AR",1313.00
12,"AZ",3569.00
12,"CA",15516.00
12,"CO",7769.00
12,"CT",8519.00
12,"DC",876.00
12,"DE",1762.00
12,"FL",33953.00
12,"GA",10296.00
12,"HI",663.00
12,"IA",3788.00
12,"ID",2008.00
12,"IL",15146.00
12,"IN",6083.00
12,"KS",1923.00
12,"KY",3817.00
12,"LA",3332.00
12,"MA",14699.00
12,"MD",8021.00
12,"ME",1189.00
12,"MI",37364.00
12,"MN",9560.00
12,"MO",3661.00
12,"MS",1629.00
12,"MT",1131.00
12,"NC",12215.00
12,"ND",932.00
12,"NE",1872.00
12,"NH",2429.00
12,"NJ",29495.00
12,"NM",1327.00
12,"NV",1967.00
12,"NY",25769.00
12,"OH",11784.00
12,"OK",1722.00
12,"OR",2382.00
12,"PA",25039.00
12,"RI",2844.00
12,"SC",6618.00
12,"SD",1358.00
12,"TN",8264.00
12,"TX",25486.00
12,"UT",2919.00
12,"VA",10463.00
12,"VT",990.00
12,"WA",6203.00
12,"WI",4694.00
12,"WV",2838.00
12,"WY",465.00
13,"AK",1232.00
13,"AL",2470.00
13,"AR",1110.00
13,"AZ",4504.00
13,"CA",15222.00
13,"CO",9304.00
13,"CT",8746.00
13,"DC",881.00
13,"DE",2317.00
13,"FL",36879.00
13,"GA",9250.00
13,"HI",820.00
13,"IA",3696.00
13,"ID",1753.00
13,"IL",18607.00
13,"IN",7022.00
13,"KS",1440.00
13,"KY",3575.00
13,"LA",2400.00
13,"MA",15676.00
13,"MD",9285.00
13,"ME",2112.00
13,"MI",43328.00
13,"MN",12434.00
13,"MO",3645.00
13,"MS",1442.00
13,"MT",940.00
13,"NC",11499.00
13,"ND",1055.00
13,"NE",3694.00
13,"NH",2703.00
13,"NJ",31253.00
13,"NM",1265.00
13,"NV",1998.00
13,"NY",28082.00
13,"OH",13408.00
13,"OK",1604.00
13,"OR",2778.00
13,"PA",29195.00
13,"RI",2838.00
13,"SC",6157.00
13,"SD",1280.00
13,"TN",7563.00
13,"TX",23145.00
13,"UT",2824.00
13,"VA",9781.00
13,"VT",1262.00
13,"WA",7350.00
13,"WI",4927.00
13,"WV",2790.00
13,"WY",401.00
14,"AK",1194.00
14,"AL",2837.00
14,"AR",1083.00
14,"AZ",4558.00
14,"CA",15649.00
14,"CO",10542.00
14,"CT",7630.00
14,"DC",830.00
14,"DE",2157.00
14,"FL",40580.00
14,"GA",9020.00
14,"HI",710.00
14,"IA",3635.00
14,"ID",2193.00
14,"IL",22645.00
14,"IN",7606.00
14,"KS",1363.00
14,"KY",3716.00
14,"LA",3369.00
14,"MA",14346.00
14,"MD",9401.00
14,"ME",2198.00
14,"MI",47837.00
14,"MN",14010.00
14,"MO",3986.00
14,"MS",1524.00
14,"MT",1033.00
14,"NC",12307.00
14,"ND",1107.00
14,"NE",2396.00
14,"NH",2998.00
14,"NJ",26707.00
14,"NM",1216.00
14,"NV",2788.00
14,"NY",27027.00
14,"OH",13589.00
14,"OK",1590.00
14,"OR",3605.00
14,"PA",30225.00
14,"RI",3024.00
14,"SC",5688.00
14,"SD",1344.00
14,"TN",8067.00
14,"TX",24287.00
14,"UT",2763.00
14,"VA",10404.00
14,"VT",1022.00
14,"WA",7720.00
14,"WI",6311.00
14,"WV",2648.00
14,"WY",426.00
15,"AK",1048.00
15,"AL",2888.00
15,"AR",1354.00
15,"AZ",4029.00
15,"CA",15129.00
15,"CO",11585.00
15,"CT",8255.00
15,"DC",817.00
15,"DE",2556.00
15,"FL",42603.00
15,"GA",10600.00
15,"HI",650.00
15,"IA",3255.00
15,"ID",1574.00
15,"IL",22745.00
15,"IN",8052.00
15,"KS",1625.00
15,"KY",4211.00
15,"LA",3582.00
15,"MA",13672.00
15,"MD",9298.00
15,"ME",3322.00
15,"MI",40848.00
15,"MN",14259.00
15,"MO",14226.00
15,"MS",1697.00
15,"MT",947.00
15,"NC",14133.00
15,"ND",1009.00
15,"NE",2091.00
15,"NH",2833.00
15,"NJ",25601.00
15,"NM",1703.00
15,"NV",2763.00
15,"NY",23753.00
15,"OH",14499.00
15,"OK",1635.00
15,"OR",4416.00
15,"PA",34642.00
15,"RI",2660.00
15,"SC",6641.00
15,"SD",1351.00
15,"TN",8158.00
15,"TX",23563.00
15,"UT",2749.00
15,"VA",10581.00
15,"VT",852.00
15,"WA",9290.00
15,"WI",6048.00
15,"WV",2763.00
15,"WY",431.00
16,"AK",1064.00
16,"AL",2758.00
16,"AR",1235.00
16,"AZ",5026.00
16,"CA",13226.00
16,"CO",11647.00
16,"CT",5647.00
16,"DC",640.00
16,"DE",2104.00
16,"FL",41225.00
16,"GA",9552.00
16,"HI",559.00
16,"IA",2968.00
16,"ID",1326.00
16,"IL",19423.00
16,"IN",6839.00
16,"KS",1675.00
16,"KY",3536.00
16,"LA",3418.00
16,"MA",10320.00
16,"MD",7229.00
16,"ME",2492.00
16,"MI",29617.00
16,"MN",12151.00
16,"MO",-6148.00
16,"MS",1675.00
16,"MT",959.00
16,"NC",12454.00
16,"ND",934.00
16,"NE",2435.00
16,"NH",2263.00
16,"NJ",20493.00
16,"NM",1358.00
16,"NV",2653.00
16,"NY",17600.00
16,"OH",11334.00
16,"OK",1554.00
16,"OR",5429.00
16,"PA",27398.00
16,"RI",1994.00
16,"SC",5220.00
16,"SD",930.00
16,"TN",7127.00
16,"TX",23278.00
