submission_date,Week,state,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death,created_at,consent_cases,consent_deaths,,,State,Week no.,Total new Covid Cases
7/16/2021,29,AK,"69,453",,,133,0,374,,,0,0,7/17/2021 13:43,N/A,N/A,,,AK,29,133
7/15/2021,28,AK,"69,320",,,133,0,374,,,0,0,7/16/2021 14:03,N/A,N/A,,,AK,28,588
7/14/2021,28,AK,"69,187",,,118,0,374,,,0,0,7/15/2021 14:29,N/A,N/A,,,AK,27,304
7/13/2021,28,AK,"69,069",,,118,0,374,,,0,0,7/14/2021 14:14,N/A,N/A,,,AK,26,230
7/12/2021,28,AK,"68,951",,,54,0,374,,,2,0,7/13/2021 14:26,N/A,N/A,,,AK,25,239
7/11/2021,28,AK,"68,897",,,53,0,372,,,0,0,7/12/2021 14:22,N/A,N/A,,,AK,24,166
7/10/2021,28,AK,"68,844",,,53,0,372,,,0,0,7/12/2021 13:16,N/A,N/A,,,AK,23,202
7/9/2021,28,AK,"68,791",,,59,0,372,,,2,0,7/10/2021 14:17,N/A,N/A,,,AK,22,234
7/8/2021,27,AK,"68,732",,,58,0,370,,,0,0,7/9/2021 13:56,N/A,N/A,,,AK,21,314
7/7/2021,27,AK,"68,674",,,40,0,370,,,0,0,7/8/2021 14:26,N/A,N/A,,,AK,20,469
7/6/2021,27,AK,"68,634",,,39,0,370,,,0,0,7/7/2021 14:48,N/A,N/A,,,AK,19,570
7/5/2021,27,AK,"68,595",,,39,0,370,,,0,0,7/6/2021 13:52,N/A,N/A,,,AK,18,738
7/4/2021,27,AK,"68,556",,,39,0,370,,,0,0,7/5/2021 14:30,N/A,N/A,,,AK,17,1041
7/3/2021,27,AK,"68,517",,,39,0,370,,,0,0,7/5/2021 13:25,N/A,N/A,,,AK,16,1144
7/2/2021,27,AK,"68,478",,,50,0,370,,,0,0,7/3/2021 13:44,N/A,N/A,,,AK,15,1112
7/1/2021,26,AK,"68,428",,,49,0,370,,,0,0,7/2/2021 13:55,N/A,N/A,,,AK,14,1201
6/30/2021,26,AK,"68,379",,,40,0,370,,,3,0,7/1/2021 14:29,N/A,N/A,,,AK,13,1179
6/29/2021,26,AK,"68,339",,,39,0,367,,,0,0,6/30/2021 14:11,N/A,N/A,,,AK,12,944
6/28/2021,26,AK,"68,300",,,28,0,367,,,0,0,6/29/2021 14:25,N/A,N/A,,,AK,11,914
6/27/2021,26,AK,"68,272",,,27,0,367,,,0,0,6/28/2021 15:02,N/A,N/A,,,AK,10,908
6/26/2021,26,AK,"68,245",,,27,0,367,,,0,0,6/28/2021 13:23,N/A,N/A,,,AK,9,873
6/25/2021,26,AK,"68,218",,,20,0,367,,,0,0,6/26/2021 14:17,N/A,N/A,,,AK,8,881
6/24/2021,25,AK,"68,198",,,19,0,367,,,0,0,6/25/2021 15:01,N/A,N/A,,,AK,7,806
6/23/2021,25,AK,"68,179",,,34,0,367,,,1,0,6/24/2021 15:16,N/A,N/A,,,AK,6,990
6/22/2021,25,AK,"68,145",,,33,0,366,,,0,0,6/23/2021 15:24,N/A,N/A,,,AK,5,943
6/21/2021,25,AK,"68,112",,,81,0,366,,,0,0,6/22/2021 14:36,N/A,N/A,,,AK,4,1173
