"MMWR_week","Recip_State","SumOfSeries_Complete_Yes"
-2,"AK",2.00
-2,"AL",121.00
-2,"AR",6.00
-2,"AZ",2.00
-2,"CA",36.00
-2,"CO",18.00
-2,"CT",22.00
-2,"DC",0.00
-2,"DE",0.00
-2,"FL",96.00
-2,"GA",1.00
-2,"HI",0.00
-2,"IA",5.00
-2,"ID",0.00
-2,"IL",17.00
-2,"IN",5.00
-2,"KS",1.00
-2,"KY",1.00
-2,"LA",0.00
-2,"MA",2.00
-2,"MD",4.00
-2,"ME",2.00
-2,"MI",2.00
-2,"MN",0.00
-2,"MO",5.00
-2,"MS",2.00
-2,"MT",6.00
-2,"NC",1.00
-2,"ND",3.00
-2,"NE",18.00
-2,"NH",0.00
-2,"NJ",0.00
-2,"NM",3.00
-2,"NV",0.00
-2,"NY",29.00
-2,"OH",1.00
-2,"OK",22.00
-2,"OR",0.00
-2,"PA",8.00
-2,"RI",0.00
-2,"SC",0.00
-2,"SD",0.00
-2,"TN",2.00
-2,"TX",0.00
-2,"UT",0.00
-2,"VA",0.00
-2,"VT",1.00
-2,"WA",0.00
-2,"WI",16.00
-2,"WV",0.00
-2,"WY",3.00
-1,"AK",142.00
-1,"AL",927.00
-1,"AR",338.00
-1,"AZ",283.00
-1,"CA",2081.00
-1,"CO",272.00
-1,"CT",122.00
-1,"DC",523.00
-1,"DE",28.00
-1,"FL",1186.00
-1,"GA",275.00
-1,"HI",0.00
-1,"IA",41.00
-1,"ID",9.00
-1,"IL",1048.00
-1,"IN",468.00
-1,"KS",41.00
-1,"KY",140.00
-1,"LA",747.00
-1,"MA",101.00
-1,"MD",208.00
-1,"ME",43.00
-1,"MI",85.00
-1,"MN",55.00
-1,"MO",163.00
-1,"MS",58.00
-1,"MT",133.00
-1,"NC",25.00
-1,"ND",21.00
-1,"NE",184.00
-1,"NH",0.00
-1,"NJ",66.00
-1,"NM",122.00
-1,"NV",25.00
-1,"NY",751.00
-1,"OH",258.00
-1,"OK",323.00
-1,"OR",3.00
-1,"PA",750.00
-1,"RI",2.00
-1,"SC",10.00
-1,"SD",6.00
-1,"TN",2529.00
-1,"TX",0.00
-1,"UT",256.00
-1,"VA",252.00
-1,"VT",52.00
-1,"WA",103.00
-1,"WI",149.00
-1,"WV",12.00
-1,"WY",41.00
0,"AK",375.00
0,"AL",1142.00
0,"AR",623.00
0,"AZ",958.00
0,"CA",4881.00
0,"CO",838.00
0,"CT",243.00
0,"DC",832.00
0,"DE",76.00
0,"FL",11664.00
0,"GA",1630.00
0,"HI",0.00
0,"IA",65.00
0,"ID",355.00
0,"IL",2830.00
0,"IN",1403.00
0,"KS",123.00
0,"KY",990.00
0,"LA",1632.00
0,"MA",299.00
0,"MD",651.00
0,"ME",213.00
0,"MI",427.00
0,"MN",279.00
0,"MO",346.00
0,"MS",188.00
0,"MT",498.00
0,"NC",116.00
0,"ND",34.00
0,"NE",503.00
0,"NH",0.00
0,"NJ",394.00
0,"NM",404.00
0,"NV",90.00
0,"NY",3414.00
0,"OH",1524.00
0,"OK",561.00
0,"OR",31.00
0,"PA",2463.00
0,"RI",15.00
0,"SC",80.00
0,"SD",18.00
0,"TN",6009.00
0,"TX",0.00
0,"UT",1211.00
0,"VA",772.00
0,"VT",122.00
0,"WA",439.00
0,"WI",269.00
0,"WV",37.00
0,"WY",187.00
1,"AK",4867.00
1,"AL",8450.00
1,"AR",859.00
1,"AZ",12382.00
1,"CA",72194.00
1,"CO",28640.00
1,"CT",4780.00
1,"DC",3635.00
1,"DE",1353.00
1,"FL",71104.00
1,"GA",12579.00
1,"HI",0.00
1,"IA",5282.00
1,"ID",4062.00
1,"IL",29800.00
1,"IN",13248.00
1,"KS",9407.00
1,"KY",9061.00
1,"LA",23452.00
1,"MA",13685.00
1,"MD",9552.00
1,"ME",5777.00
1,"MI",10949.00
1,"MN",7179.00
1,"MO",15513.00
1,"MS",7394.00
1,"MT",6785.00
1,"NC",20049.00
1,"ND",6013.00
1,"NE",15356.00
1,"NH",283.00
1,"NJ",14178.00
1,"NM",13255.00
1,"NV",8215.00
1,"NY",42175.00
1,"OH",12277.00
1,"OK",19218.00
1,"OR",4662.00
1,"PA",23752.00
1,"RI",2629.00
1,"SC",3995.00
1,"SD",6324.00
1,"TN",18423.00
1,"TX",0.00
1,"UT",4947.00
1,"VA",20575.00
1,"VT",787.00
1,"WA",13309.00
1,"WI",12377.00
1,"WV",27305.00
1,"WY",1557.00
2,"AK",49776.00
2,"AL",78248.00
2,"AR",72237.00
2,"AZ",127476.00
2,"CA",1083143.00
2,"CO",291885.00
2,"CT",47176.00
2,"DC",20425.00
2,"DE",22413.00
2,"FL",452398.00
2,"GA",122354.00
2,"HI",0.00
2,"IA",58377.00
2,"ID",52018.00
2,"IL",515009.00
2,"IN",230636.00
2,"KS",93494.00
2,"KY",70114.00
2,"LA",167141.00
2,"MA",180359.00
2,"MD",100373.00
2,"ME",47441.00
2,"MI",247042.00
2,"MN",131891.00
2,"MO",170779.00
2,"MS",48751.00
2,"MT",51899.00
2,"NC",252149.00
2,"ND",43849.00
2,"NE",88462.00
2,"NH",5187.00
2,"NJ",184212.00
2,"NM",119761.00
2,"NV",76927.00
2,"NY",364829.00
2,"OH",91626.00
2,"OK",165988.00
2,"OR",75744.00
2,"PA",337538.00
2,"RI",37281.00
2,"SC",82866.00
2,"SD",61141.00
2,"TN",185009.00
2,"TX",0.00
2,"UT",48234.00
2,"VA",172577.00
2,"VT",16931.00
2,"WA",172926.00
2,"WI",119835.00
2,"WV",114459.00
2,"WY",14772.00
3,"AK",87663.00
3,"AL",152769.00
3,"AR",189566.00
3,"AZ",322301.00
3,"CA",2137878.00
3,"CO",399092.00
3,"CT",126737.00
3,"DC",35094.00
3,"DE",45865.00
3,"FL",908120.00
3,"GA",276102.00
3,"HI",0.00
3,"IA",119959.00
3,"ID",94311.00
3,"IL",811595.00
3,"IN",498122.00
3,"KS",148361.00
3,"KY",140083.00
3,"LA",265904.00
3,"MA",332484.00
3,"MD",231437.00
3,"ME",86847.00
3,"MI",594741.00
3,"MN",351872.00
3,"MO",361789.00
3,"MS",88858.00
3,"MT",79865.00
3,"NC",496794.00
3,"ND",67988.00
3,"NE",128938.00
3,"NH",10290.00
3,"NJ",378605.00
3,"NM",213987.00
3,"NV",132816.00
3,"NY",846097.00
3,"OH",287109.00
3,"OK",253655.00
3,"OR",199641.00
3,"PA",690699.00
3,"RI",72162.00
3,"SC",228525.00
3,"SD",85711.00
3,"TN",429110.00
3,"TX",0.00
3,"UT",124833.00
3,"VA",328001.00
3,"VT",44869.00
3,"WA",384736.00
3,"WI",289395.00
3,"WV",188908.00
3,"WY",29981.00
4,"AK",137860.00
4,"AL",281856.00
4,"AR",292093.00
4,"AZ",589575.00
4,"CA",3221572.00
4,"CO",692576.00
4,"CT",260994.00
4,"DC",47386.00
4,"DE",80235.00
4,"FL",1561769.00
4,"GA",500774.00
4,"HI",0.00
4,"IA",274628.00
4,"ID",136703.00
4,"IL",1156131.00
4,"IN",771377.00
4,"KS",238735.00
4,"KY",322756.00
4,"LA",373914.00
4,"MA",580006.00
4,"MD",449405.00
4,"ME",171714.00
4,"MI",1013799.00
4,"MN",613168.00
4,"MO",563249.00
4,"MS",150569.00
4,"MT",140617.00
4,"NC",814916.00
4,"ND",125191.00
4,"NE",229031.00
4,"NH",19715.00
4,"NJ",687624.00
4,"NM",346177.00
4,"NV",195466.00
4,"NY",1607693.00
4,"OH",769456.00
4,"OK",407618.00
4,"OR",371700.00
4,"PA",1205562.00
4,"RI",117456.00
4,"SC",371800.00
4,"SD",164694.00
4,"TN",852307.00
4,"TX",0.00
4,"UT",226079.00
4,"VA",647582.00
4,"VT",81467.00
4,"WA",661220.00
4,"WI",515098.00
4,"WV",333199.00
4,"WY",49245.00
5,"AK",211743.00
5,"AL",500868.00
5,"AR",490779.00
5,"AZ",891120.00
5,"CA",4713120.00
5,"CO",1072581.00
5,"CT",445240.00
5,"DC",70746.00
5,"DE",129155.00
5,"FL",2969707.00
5,"GA",1011349.00
5,"HI",0.00
5,"IA",478144.00
5,"ID",206934.00
5,"IL",1737423.00
5,"IN",1048385.00
5,"KS",404344.00
5,"KY",613010.00
5,"LA",797678.00
5,"MA",963006.00
5,"MD",817883.00
5,"ME",263655.00
5,"MI",1671877.00
5,"MN",932574.00
5,"MO",794978.00
5,"MS",256610.00
5,"MT",228373.00
5,"NC",1452562.00
5,"ND",202486.00
5,"NE",395650.00
5,"NH",32587.00
5,"NJ",1167059.00
5,"NM",564770.00
5,"NV",328150.00
5,"NY",2739521.00
5,"OH",1560219.00
5,"OK",802715.00
5,"OR",679038.00
5,"PA",1881990.00
5,"RI",190772.00
5,"SC",629896.00
5,"SD",250947.00
5,"TN",1392536.00
5,"TX",0.00
5,"UT",488490.00
5,"VA",1151699.00
5,"VT",139049.00
5,"WA",1074553.00
5,"WI",831836.00
5,"WV",545882.00
5,"WY",90079.00
6,"AK",333125.00
6,"AL",809438.00
6,"AR",784777.00
6,"AZ",1490110.00
6,"CA",7112192.00
6,"CO",1686507.00
6,"CT",660324.00
6,"DC",121747.00
6,"DE",184043.00
6,"FL",5887081.00
6,"GA",1899388.00
6,"HI",0.00
6,"IA",699841.00
6,"ID",315479.00
6,"IL",2383621.00
6,"IN",1558660.00
6,"KS",638312.00
6,"KY",1114494.00
6,"LA",1419974.00
6,"MA",1437708.00
6,"MD",1384877.00
6,"ME",354429.00
6,"MI",2782327.00
6,"MN",1294587.00
6,"MO",1202902.00
6,"MS",581183.00
6,"MT",322551.00
6,"NC",2565336.00
6,"ND",293375.00
6,"NE",554970.00
6,"NH",46765.00
6,"NJ",2032005.00
6,"NM",842814.00
6,"NV",566559.00
6,"NY",4588359.00
6,"OH",2501109.00
6,"OK",1401356.00
6,"OR",1096901.00
6,"PA",2716002.00
6,"RI",265177.00
6,"SC",974993.00
6,"SD",348158.00
6,"TN",1885942.00
6,"TX",0.00
6,"UT",741350.00
6,"VA",1902385.00
6,"VT",200618.00
6,"WA",1634041.00
6,"WI",1333192.00
6,"WV",808069.00
